Loyalty Number,CLV,Churn_Probability,Risk_Level,Value_Segment,Revenue_At_Risk,Priority_Score,Recommended_Action,Communication_Channel,Action_Timeline
233084,5498.94,0.08111838,Low Risk,Silver,446.06511833891267,446.06511833891267,No Action Required,None,No Immediate Action
459735,8736.5,0.13994612,Low Risk,Gold,1222.6392598822713,1222.6392598822713,No Action Required,None,No Immediate Action
303049,8002.31,0.999879,Critical Risk,Gold,8001.341741064787,8001.341741064787,Free Upgrade Voucher,Email + SMS,Within 24 Hours
975298,5095.44,0.11025098,Low Risk,Silver,561.7772518086433,561.7772518086433,No Action Required,None,No Immediate Action
290109,16468.22,0.99988043,Critical Risk,Premium,16466.250945699216,16466.250945699216,Personal Relationship Manager Call,Phone Call,Within 24 Hours
496325,4700.01,0.12065262,Low Risk,Silver,567.0685368568451,567.0685368568451,No Action Required,None,No Immediate Action
497030,3460.12,0.9999372,Critical Risk,Bronze,3459.9026238584515,3459.9026238584515,Double Loyalty Points Campaign,App Notification,Within 24 Hours
223238,3517.39,0.9999416,Critical Risk,Bronze,3517.1845402741433,3517.1845402741433,Double Loyalty Points Campaign,App Notification,Within 24 Hours
973485,2870.0,0.1090646,Low Risk,Bronze,313.01540590822697,313.01540590822697,No Action Required,None,No Immediate Action
459801,4568.82,0.08360506,Low Risk,Silver,381.9764633359015,381.9764633359015,No Action Required,None,No Immediate Action
977244,56675.94,0.07477783,Low Risk,Premium,4238.103617499769,4238.103617499769,No Action Required,None,No Immediate Action
483631,7486.07,0.8746289,Critical Risk,Gold,6547.533180514573,6547.533180514573,Free Upgrade Voucher,Email + SMS,Within 24 Hours
226842,4080.82,0.049463805,Low Risk,Silver,201.85288394980134,201.85288394980134,No Action Required,None,No Immediate Action
482711,7200.57,0.11399516,Low Risk,Gold,820.8301089515537,820.8301089515537,No Action Required,None,No Immediate Action
307631,7076.65,0.81396836,Critical Risk,Gold,5760.169197794795,5760.169197794795,Free Upgrade Voucher,Email + SMS,Within 24 Hours
500022,5323.27,0.07119043,Low Risk,Silver,378.9658894304931,378.9658894304931,No Action Required,None,No Immediate Action
288636,9029.71,0.25148368,Low Risk,Premium,2270.8246894574163,2270.8246894574163,No Action Required,None,No Immediate Action
293100,7903.99,0.8062844,Critical Risk,Gold,6372.864053244591,6372.864053244591,Free Upgrade Voucher,Email + SMS,Within 24 Hours
459835,10477.68,0.35710093,Low Risk,Premium,3741.589311954975,3741.589311954975,No Action Required,None,No Immediate Action
307740,4904.46,0.19497028,Low Risk,Silver,956.2239391154051,956.2239391154051,No Action Required,None,No Immediate Action
496329,21710.28,0.093266256,Low Risk,Premium,2024.8365356460213,2024.8365356460213,No Action Required,None,No Immediate Action
271059,5908.75,0.99993086,Critical Risk,Gold,5908.341460824013,5908.341460824013,Free Upgrade Voucher,Email + SMS,Within 24 Hours
278898,3419.11,0.096796654,Low Risk,Bronze,330.95840822137893,330.95840822137893,No Action Required,None,No Immediate Action
482673,6478.8,0.33762273,Low Risk,Gold,2187.3901555895804,2187.3901555895804,No Action Required,None,No Immediate Action
277139,8021.07,0.08589886,Low Risk,Gold,689.0007793195546,689.0007793195546,No Action Required,None,No Immediate Action
