Loyalty Number,Cluster,Persona,Recency (Months),Total Flights,Distance,Points Redeemed,Salary
480934,0,High-Value Redeemers,0,37,54525,1418,83236.0
549612,0,High-Value Redeemers,0,58,77487,1971,73455.0
429460,2,Occasional / Declining Flyers,10,18,24803,374,73455.0
608370,0,High-Value Redeemers,0,35,48432,1291,73455.0
530508,4,Active Points Hoarders,0,37,55515,0,103495.0
193662,4,Active Points Hoarders,0,86,138596,1222,51124.0
927943,0,High-Value Redeemers,0,40,61007,1583,73455.0
188893,4,Active Points Hoarders,2,41,72849,733,100159.0
852392,0,High-Value Redeemers,4,27,48968,1516,100159.0
866307,0,High-Value Redeemers,1,44,55849,1683,100159.0
932823,4,Active Points Hoarders,1,51,81965,499,66444.0
144514,0,High-Value Redeemers,1,31,50773,1599,49618.0
611765,2,Occasional / Declining Flyers,0,26,38476,436,90175.0
988178,4,Active Points Hoarders,0,63,86527,1190,73455.0
286114,0,High-Value Redeemers,1,26,35769,2123,73455.0
205785,0,High-Value Redeemers,0,35,51158,1233,128118.0
735304,0,High-Value Redeemers,0,29,44741,1053,128118.0
438936,4,Active Points Hoarders,0,52,67379,499,94092.0
172755,4,Active Points Hoarders,0,40,43352,765,73455.0
354730,2,Occasional / Declining Flyers,13,20,36872,0,73455.0
413741,0,High-Value Redeemers,5,36,60555,1965,73455.0
552965,2,Occasional / Declining Flyers,0,3,6783,0,73455.0
642313,0,High-Value Redeemers,6,33,47139,1506,73455.0
263080,2,Occasional / Declining Flyers,0,29,38374,346,73455.0
109767,0,High-Value Redeemers,0,44,66909,1752,89062.0
217754,4,Active Points Hoarders,1,32,52110,0,102400.0
157005,4,Active Points Hoarders,1,48,66723,911,98629.0
557752,0,High-Value Redeemers,0,22,31868,1340,98629.0
608758,4,Active Points Hoarders,0,40,60258,0,63795.0
599341,0,High-Value Redeemers,0,58,102009,1863,54890.0
333502,4,Active Points Hoarders,0,42,60437,409,73455.0
201574,1,Inactive / Zero Flights,999,0,0,0,51375.0
403361,2,Occasional / Declining Flyers,2,19,21288,0,70222.0
543918,0,High-Value Redeemers,1,52,76633,3513,40736.0
806030,2,Occasional / Declining Flyers,0,14,26656,567,75861.0
119200,4,Active Points Hoarders,1,31,44595,1004,69835.0
938981,4,Active Points Hoarders,1,38,49606,0,73455.0
