Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Total Flights,Distance,Points Accumulated,Points Redeemed,Months Active,Last Flight Date,Recency (Months)
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,,,37,54525,54525.0,1418,24,2018-12-31,0
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,73455.0,Divorced,Star,3839.61,Standard,2016,3,,,58,77487,77487.0,1971,24,2018-12-31,0
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,73455.0,Single,Star,3839.75,Standard,2014,7,2018.0,1.0,18,24803,24803.0,374,24,2018-01-31,10
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,73455.0,Single,Star,3839.75,Standard,2013,2,,,35,48432,48432.0,1291,24,2018-12-31,0
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,,,37,55515,55515.0,0,24,2018-12-31,0
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,,,86,138596,138596.0,1222,48,2018-12-31,0
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,73455.0,Single,Star,3857.95,Standard,2014,6,,,40,61007,61007.0,1583,24,2018-12-31,0
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,,,41,72849,72849.0,733,24,2018-10-31,2
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,,,27,48968,48968.0,1516,24,2018-08-31,4
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,,,44,55849,55849.0,1683,24,2018-11-30,1
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,,,51,81965,81965.0,499,24,2018-11-30,1
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,,,31,50773,50773.0,1599,24,2018-11-30,1
611765,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,90175.0,Single,Star,3867.97,Standard,2018,1,,,26,38476,38476.0,436,24,2018-12-31,0
