Loyalty Number,Flights_Last_3M,Distance_Last_3M,Points_Last_3M,Flight_Frequency,Avg_Distance_Per_Month,Avg_Points_Per_Month,Points_Redeem_Ratio,Flight_Trend_3M,Distance_Trend_3M,Months_Since_Last_Flight,CLV,CLV_Per_Year,Salary,Membership_Age,Cancelled,Gender,Education,Marital Status,Loyalty Card,Enrollment Type
233084,5.0,8911.0,8911.0,2.375,3631.375,3631.375,0.0,1.0,3015.0,0.0,5498.94,1099.788,65565.0,4,0,Male,High School or Below,Married,Aurora,Standard
459735,7.0,8263.0,8263.0,1.4583333333333333,2127.5416666666665,2127.5416666666665,0.0,1.0,2376.0,0.0,8736.5,1747.3,70816.0,4,0,Female,Bachelor,Single,Star,Standard
303049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8002.31,8002.31,,0,0,Female,College,Married,Nova,Standard
975298,9.0,12708.0,12708.0,1.8333333333333333,2818.7916666666665,2818.7916666666665,0.0,4.0,6940.0,0.0,5095.44,1019.088,,4,0,Male,College,Married,Nova,Standard
290109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16468.22,16468.22,,0,0,Female,College,Divorced,Nova,2018 Promotion
496325,6.0,11960.0,11960.0,2.0,2745.0416666666665,2745.0416666666665,0.0,5.0,9840.0,0.0,4700.01,671.4300000000001,64828.0,6,0,Male,Doctor,Married,Star,Standard
497030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3460.12,692.024,,4,1,Female,College,Married,Nova,Standard
223238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3517.39,703.478,69822.0,4,1,Female,Bachelor,Single,Nova,Standard
973485,4.0,4862.0,4862.0,1.7916666666666667,2736.9583333333335,2736.9583333333335,0.4133679428942245,-1.0,-4967.0,0.0,2870.0,717.5,83842.0,3,0,Female,Bachelor,Married,Star,Standard
459801,4.0,6775.0,6775.0,1.9583333333333333,3262.25,3262.25,0.0,1.0,1883.0,0.0,4568.82,652.6885714285714,,6,0,Female,College,Single,Star,Standard
977244,9.0,17902.0,17902.0,1.9583333333333333,2721.4166666666665,2721.4166666666665,0.0,-1.0,-1322.0,0.0,56675.94,14168.985,88425.0,3,0,Female,Bachelor,Married,Aurora,Standard
483631,0.0,0.0,0.0,0.9583333333333334,1127.3333333333333,1127.3333333333333,0.0,0.0,0.0,0.0,7486.07,1247.6783333333333,103544.0,5,1,Female,Bachelor,Divorced,Star,Standard
226842,3.0,6189.0,6189.0,2.0833333333333335,3338.125,3338.125,0.0,0.0,0.0,0.0,4080.82,1360.2733333333333,73823.0,2,0,Female,Bachelor,Single,Nova,Standard
482711,8.0,15692.0,15692.0,2.2916666666666665,3386.5,3386.5,0.0,4.0,8720.0,0.0,7200.57,1800.1425,277965.0,3,0,Male,Doctor,Married,Nova,Standard
307631,0.0,0.0,0.0,0.5,878.0833333333334,878.0833333333334,0.0,0.0,0.0,0.0,7076.65,3538.325,,1,1,Female,College,Single,Aurora,Standard
500022,3.0,1977.0,1977.0,2.0833333333333335,2778.375,2778.375,0.0,3.0,1977.0,0.0,5323.27,887.2116666666667,72364.0,5,0,Male,Bachelor,Single,Star,Standard
288636,7.0,6987.0,6987.0,0.7916666666666666,1069.1666666666667,1069.1666666666667,0.0,2.0,-1612.0,0.0,9029.71,4514.855,92359.0,1,0,Female,Master,Divorced,Aurora,Standard
293100,0.0,0.0,0.0,0.5416666666666666,921.1666666666666,921.1666666666666,0.0,0.0,0.0,0.0,7903.99,3951.995,57815.0,1,1,Female,Bachelor,Divorced,Star,Standard
459835,0.0,0.0,0.0,2.1818181818181817,2406.5454545454545,3609.818181818182,0.0,0.0,0.0,0.0,10477.68,10477.68,65025.0,0,1,Female,Bachelor,Single,Star,2018 Promotion
307740,4.0,3241.0,3241.0,1.2083333333333333,1509.5833333333333,1509.5833333333333,0.0,1.0,589.0,0.0,4904.46,980.892,269707.0,4,0,Female,Doctor,Married,Nova,Standard
496329,4.0,4937.0,4937.0,1.9166666666666667,2399.625,2399.625,0.0,1.0,968.0,0.0,21710.28,10855.14,77546.0,1,0,Male,Bachelor,Married,Aurora,Standard
271059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5908.75,1969.5833333333333,84154.0,2,1,Female,Bachelor,Married,Star,Standard
278898,3.0,2421.0,2421.0,2.0833333333333335,2923.5833333333335,2923.5833333333335,0.0,0.0,0.0,0.0,3419.11,1709.555,61376.0,1,1,Female,Bachelor,Married,Nova,Standard
482673,6.0,4553.0,4553.0,0.375,411.3333333333333,411.3333333333333,0.3989254533243788,2.0,1488.0,0.0,6478.8,6478.8,69126.0,0,0,Female,Bachelor,Married,Aurora,Standard
277139,4.0,6314.0,6314.0,2.25,3054.7916666666665,3054.7916666666665,0.0,-1.0,1280.0,0.0,8021.07,2005.2675,71635.0,3,0,Female,Bachelor,Married,Star,Standard
105700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7944.97,1324.1616666666666,,5,1,Female,College,Single,Nova,Standard
480158,0.0,0.0,0.0,1.375,1715.9166666666667,1715.9166666666667,0.0,-3.0,-3717.0,0.0,3123.08,780.77,,3,0,Male,College,Married,Nova,Standard
288530,4.0,7643.0,7643.0,1.2083333333333333,1720.4166666666667,1720.4166666666667,0.0,1.0,2726.0,0.0,13552.78,3388.195,,3,0,Female,College,Single,Nova,Standard
499945,7.0,9332.0,9332.0,1.6666666666666667,2250.2916666666665,2250.2916666666665,0.0,4.0,6380.0,0.0,9048.98,1809.7959999999998,,4,0,Male,College,Married,Aurora,Standard
485281,0.0,0.0,0.0,1.0416666666666667,1754.75,1754.75,0.0,0.0,0.0,0.0,8033.91,2677.97,83357.0,2,0,Male,Bachelor,Married,Aurora,Standard
304601,0.0,0.0,0.0,1.4166666666666667,2023.1666666666667,2023.1666666666667,0.0,-2.0,-4940.0,0.0,4595.52,1531.8400000000001,101826.0,2,0,Male,Bachelor,Divorced,Star,Standard
464220,6.0,9943.0,9943.0,1.875,2652.125,2652.125,0.0,0.0,765.0,0.0,8900.42,1780.084,93199.0,4,0,Female,Bachelor,Divorced,Aurora,Standard
233051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5096.67,1019.3340000000001,210090.0,4,1,Female,Doctor,Divorced,Nova,Standard
485674,7.0,8035.0,8035.0,2.0,3185.625,3185.625,0.0,4.0,1849.0,0.0,4943.39,706.1985714285714,64661.0,6,0,Male,Bachelor,Married,Nova,Standard
500437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8522.76,8522.76,,0,0,Male,College,Married,Aurora,Standard
460272,12.0,15192.0,15192.0,2.5416666666666665,4071.9583333333335,4071.9583333333335,0.08319280494659921,2.0,1001.0,0.0,17006.0,5668.666666666667,74802.0,2,0,Male,Bachelor,Married,Aurora,Standard
277356,0.0,0.0,0.0,0.2916666666666667,451.1666666666667,451.1666666666667,0.0,0.0,0.0,0.0,4830.91,2415.455,,1,1,Female,College,Divorced,Star,Standard
483154,1.0,2038.0,2038.0,1.625,2698.25,2698.25,0.0,0.0,0.0,0.0,5595.97,799.4242857142857,100935.0,6,0,Female,Master,Married,Nova,Standard
464248,4.0,5486.0,5486.0,1.75,2173.75,2173.75,0.0,-3.0,-5568.0,0.0,2968.08,593.616,98969.0,4,0,Male,Bachelor,Married,Nova,Standard
227433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8329.04,1665.8080000000002,,4,1,Male,College,Single,Nova,Standard
464114,6.0,8480.0,8480.0,0.25,353.3333333333333,353.3333333333333,0.09182334936598163,5.0,6860.0,0.0,9468.51,9468.51,,0,0,Male,College,Single,Aurora,Standard
292843,2.0,3474.0,3474.0,1.625,2756.8333333333335,2756.8333333333335,0.0,0.0,0.0,0.0,7635.42,2545.14,,2,0,Male,College,Single,Aurora,Standard
307233,3.0,2985.0,2985.0,2.0,2834.0833333333335,2834.0833333333335,0.0,-1.0,-1634.0,0.0,4965.49,1655.1633333333332,,2,1,Male,College,Single,Aurora,Standard
497194,2.0,1288.0,1288.0,1.625,2305.3333333333335,2305.3333333333335,0.0,0.0,0.0,0.0,4979.08,711.2971428571428,,6,0,Male,College,Single,Star,Standard
304764,0.0,0.0,0.0,0.5416666666666666,540.7916666666666,540.7916666666666,0.0,0.0,0.0,0.0,9429.08,4714.54,87255.0,1,1,Male,Bachelor,Divorced,Aurora,Standard
293663,0.0,0.0,0.0,0.25,432.125,432.125,0.0,0.0,0.0,0.0,3122.98,624.596,85263.0,4,1,Male,Bachelor,Single,Nova,Standard
480846,2.0,2502.0,2502.0,1.1666666666666667,1654.7083333333333,1654.7083333333333,0.0,-1.0,-637.0,0.0,5616.85,2808.425,67471.0,1,0,Female,Bachelor,Married,Star,Standard
279634,0.0,0.0,0.0,0.7916666666666666,1030.2916666666667,1030.2916666666667,0.0,0.0,0.0,0.0,2961.31,740.3275,65752.0,3,1,Female,High School or Below,Married,Nova,Standard
277033,6.0,10562.0,10562.0,1.0833333333333333,1786.875,1786.875,0.0,3.0,7855.0,0.0,10302.9,3434.2999999999997,47887.0,2,0,Female,Bachelor,Single,Star,Standard
464137,5.0,7275.0,7275.0,1.7916666666666667,2475.7916666666665,2475.7916666666665,0.0,2.0,2568.0,0.0,4466.98,893.396,52881.0,4,0,Female,Bachelor,Married,Star,Standard
465197,5.0,9631.0,9631.0,1.5833333333333333,2924.7916666666665,2924.7916666666665,0.0,0.0,0.0,0.0,5904.85,843.5500000000001,97730.0,6,0,Male,Bachelor,Single,Nova,Standard
460110,2.0,3082.0,3082.0,1.0416666666666667,1854.0416666666667,1854.0416666666667,610.0,0.0,0.0,0.0,8869.63,2217.4075,,3,0,Female,College,Married,Star,Standard
